,price,Address,moreinfo,bedroom,bathroom,size_sqf,types,city,province
0,826,Regina,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,Regina,SK
1,"1,040",Regina,"2 bd
0 ba
985 sf",2,0,985,Townhouse,Regina,SK
2,900,Regina,"1 bd
0 ba
785 sf",1,0,785,Townhouse,Regina,SK
3,915,Regina,"1 bd
0 ba
632 sf",1,0,632,Apt/Condo,Regina,SK
4,"1,339",Regina,"2 bd
1 ba
930 sf",2,1,930,Apt/Condo,Regina,SK
5,"1,000",Regina,"2 bd
1 ba
1069 sf",2,1,1069,Apt/Condo,Regina,SK
6,"1,010",Regina,"2 bd
0 ba
800 sf",2,0,800,Apt/Condo,Regina,SK
7,"1,050",Regina,"2 bd
1 ba
1020 sf",2,1,1020,Apt/Condo,Regina,SK
8,675,Regina,"0 bd
1 ba
450 sf",0,1,450,Apt/Condo,Regina,SK
9,"1,469",Regina,"2 bd
1 ba
850 sf",2,1,850,Townhouse,Regina,SK
10,951,Regina,"2 bd
1 ba
1000 sf",2,1,1000,Apt/Condo,Regina,SK
11,951,Regina,"2 bd
1 ba
0 sf",2,1,0,Apt/Condo,Regina,SK
12,"1,126",Regina,"2 bd
1 ba
0 sf",2,1,0,Apt/Condo,Regina,SK
13,"1,241",Regina,"2 bd
1 ba
0 sf",2,1,0,Apt/Condo,Regina,SK
14,"1,141",Regina,"2 bd
1 ba
0 sf",2,1,0,Apt/Condo,Regina,SK
15,956,Regina,"1 bd
1 ba
675 sf",1,1,675,Apt/Condo,Regina,SK
16,901,Regina,"1 bd
1 ba
465 sf",1,1,465,Apt/Condo,Regina,SK
17,"1,026",Regina,"2 bd
1 ba
0 sf",2,1,0,Apt/Condo,Regina,SK
18,"1,739",Regina,"3 bd
1 ba
1105 sf",3,1,1105,Townhouse,Regina,SK
19,"1,025",Regina,"2 bd
1 ba
761 sf",2,1,761,Apt/Condo,Regina,SK
20,"1,118",Regina,"1 bd
1 ba
670 sf",1,1,670,Apt/Condo,Regina,SK
21,951,Regina,"2 bd
1 ba
0 sf",2,1,0,Apt/Condo,Regina,SK
22,976,Regina,"1 bd
1 ba
640 sf",1,1,640,Apt/Condo,Regina,SK
23,625,Regina,"0 bd
1 ba",0,1,,Apt/Condo,Regina,SK
24,"1,026",Regina,"1 bd
1 ba
576 sf",1,1,576,Apt/Condo,Regina,SK
25,"1,061",Regina,"1 bd
1 ba
658 sf",1,1,658,Apt/Condo,Regina,SK
26,776,Regina,"0 bd
1 ba
323 sf",0,1,323,Apt/Condo,Regina,SK
27,"1,051",Regina,"1 bd
1 ba
594 sf",1,1,594,Apt/Condo,Regina,SK
28,921,Regina,"1 bd
1 ba
640 sf",1,1,640,Apt/Condo,Regina,SK
29,"1,021",Regina,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,Regina,SK
30,776,Regina,"1 bd
1 ba
405 sf",1,1,405,Apt/Condo,Regina,SK
31,"1,229",Regina,"2 bd
1 ba
860 sf",2,1,860,Apt/Condo,Regina,SK
32,726,Regina,"0 bd
1 ba
0 sf",0,1,0,Apt/Condo,Regina,SK
33,"1,310",Regina,"2 bd
1 ba
900 sf",2,1,900,Apt/Condo,Regina,SK
34,"1,146",Regina,"2 bd
1 ba
773 sf",2,1,773,Apt/Condo,Regina,SK
35,871,Regina,"1 bd
1 ba
446 sf",1,1,446,Apt/Condo,Regina,SK
36,"1,630",Regina,"3 bd
1 ba
1020 sf",3,1,1020,Apt/Condo,Regina,SK
37,956,Regina,"1 bd
1 ba
622 sf",1,1,622,Apt/Condo,Regina,SK
38,"1,011",Regina,"1 bd
1 ba
658 sf",1,1,658,Apt/Condo,Regina,SK
39,"1,036",Regina,"1 bd
1 ba
663 sf",1,1,663,Apt/Condo,Regina,SK
40,"1,076",Regina,"2 bd
1 ba
831 sf",2,1,831,Apt/Condo,Regina,SK
41,"1,100",Regina,"V Tour

2 bd
1 ba
700 sf",2,,700,"


House",Regina,SK
42,"1,100",Regina,"2 bd
1 ba
975 sf",2,1,975,Apt/Condo,Regina,SK
43,"1,054",Regina,"1 bd
1 ba
675 sf",1,1,675,Townhouse,Regina,SK
44,896,Regina,"1 bd
1 ba
620 sf",1,1,620,Apt/Condo,Regina,SK
45,980,Regina,"1 bd
1 ba
630 sf",1,1,630,Apt/Condo,Regina,SK
46,"1,280",Regina,"2 bd
1 ba
980 sf",2,1,980,Apt/Condo,Regina,SK
