,price,Address,bedroom,bathroom,size_sqf,types,city,province,Latitude,Longitude
0,1425,Poplar,1,1,533,Apt/Condo,Abbotsford,BC,49.0759416,-122.2477789
1,2245,Poplar,2,2,910,Apt/Condo,Abbotsford,BC,49.0759416,-122.2477789
2,1350,Abbotsford West,1,1,538,Apt/Condo,Abbotsford,BC,49.0390339,-122.43024309999998
3,1725,Poplar,1,1,689,Apt/Condo,Abbotsford,BC,49.0759416,-122.2477789
4,1625,Central Abbotsford,2,1,846,Apt/Condo,Abbotsford,BC,49.0504377,-122.3044697
5,1365,Central Abbotsford,1,1,846,Apt/Condo,Abbotsford,BC,49.0504377,-122.3044697
6,1550,Abbotsford West,2,1,903,Apt/Condo,Abbotsford,BC,49.0390339,-122.43024309999998
7,1200,Abbotsford West,1,1,543,Apt/Condo,Abbotsford,BC,49.0390339,-122.43024309999998
8,1400,Abbotsford West,2,1,544,Apt/Condo,Abbotsford,BC,49.0390339,-122.43024309999998
9,1025,Abbotsford West,0,1,334,Apt/Condo,Abbotsford,BC,49.0390339,-122.43024309999998
10,1270,Abbotsford West,1,1,662,Apt/Condo,Abbotsford,BC,49.0390339,-122.43024309999998
11,1625,Abbotsford West,2,1,861,Apt/Condo,Abbotsford,BC,49.0390339,-122.43024309999998
12,1365,Abbotsford West,1,1,590,Apt/Condo,Abbotsford,BC,49.0390339,-122.43024309999998
13,1075,Abbotsford West,0,1,590,Apt/Condo,Abbotsford,BC,49.0390339,-122.43024309999998
14,1270,Central Abbotsford,1,1,675,Apt/Condo,Abbotsford,BC,49.0504377,-122.3044697
15,1550,Central Abbotsford,2,1,903,Apt/Condo,Abbotsford,BC,49.0504377,-122.3044697
16,1270,Central Abbotsford,1,1,740,Apt/Condo,Abbotsford,BC,49.0504377,-122.3044697
17,1025,Central Abbotsford,0,1,430,Apt/Condo,Abbotsford,BC,49.0504377,-122.3044697
18,1525,Central Abbotsford,2,1,950,Apt/Condo,Abbotsford,BC,49.0504377,-122.3044697
19,1025,Central Abbotsford,0,1,430,Apt/Condo,Abbotsford,BC,49.0504377,-122.3044697
20,1235,Central Abbotsford,1,1,750,Apt/Condo,Abbotsford,BC,49.0504377,-122.3044697
21,1480,Central Abbotsford,2,1,920,Apt/Condo,Abbotsford,BC,49.0504377,-122.3044697
22,2000,Abbotsford West,3,1,1188,Apt/Condo,Abbotsford,BC,49.0390339,-122.43024309999998
23,1550,Abbotsford West,2,1,900,Apt/Condo,Abbotsford,BC,49.0390339,-122.43024309999998
24,1270,Abbotsford West,1,1,746,Apt/Condo,Abbotsford,BC,49.0390339,-122.43024309999998
25,1270,Central Abbotsford,1,1,700,Apt/Condo,Abbotsford,BC,49.0504377,-122.3044697
26,1550,Central Abbotsford,2,1,930,Apt/Condo,Abbotsford,BC,49.0504377,-122.3044697
27,1270,Abbotsford West,1,1,641,Apt/Condo,Abbotsford,BC,49.0390339,-122.43024309999998
28,1215,Central Abbotsford,1,1,685,Apt/Condo,Abbotsford,BC,49.0504377,-122.3044697
29,1025,Central Abbotsford,0,1,450,Apt/Condo,Abbotsford,BC,49.0504377,-122.3044697
30,1380,Central Abbotsford,2,1,900,Apt/Condo,Abbotsford,BC,49.0504377,-122.3044697
31,1550,Abbotsford West,2,1,857,Apt/Condo,Abbotsford,BC,49.0390339,-122.43024309999998
32,1300,Central Abbotsford,1,1,714,Apt/Condo,Abbotsford,BC,49.0504377,-122.3044697
33,1580,Central Abbotsford,2,1,902,Apt/Condo,Abbotsford,BC,49.0504377,-122.3044697
34,1270,Central Abbotsford,1,1,680,Apt/Condo,Abbotsford,BC,49.0504377,-122.3044697
35,1500,Central Abbotsford,2,1,880,Apt/Condo,Abbotsford,BC,49.0504377,-122.3044697
36,1270,Abbotsford West,1,1,608,Apt/Condo,Abbotsford,BC,49.0390339,-122.43024309999998
