,price,Address,moreinfo,bedroom,bathroom,size_sqf,types,city,province
0,"1,340",Fort Mcmurray,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,For_Mcmurray,Alberta
1,"1,160",Fort Mcmurray,"2 bd
1 ba
0 sf",2,1,0,Apt/Condo,For_Mcmurray,Alberta
2,"1,135",Fort Mcmurray,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,For_Mcmurray,Alberta
3,"1,020",Fort Mcmurray,"2 bd
1 ba
0 sf",2,1,0,Apt/Condo,For_Mcmurray,Alberta
4,"1,010",Fort Mcmurray,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,For_Mcmurray,Alberta
5,"1,505",Fort Mcmurray,"3 bd
2 ba
0 sf",3,2,0,Apt/Condo,For_Mcmurray,Alberta
6,935,Fort Mcmurray,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,For_Mcmurray,Alberta
7,"1,340",Fort Mcmurray,"2 bd
1 ba
0 sf",2,1,0,Apt/Condo,For_Mcmurray,Alberta
8,"1,369",Fort Mcmurray,"2 bd
1 ba
792 sf",2,1,792,Apt/Condo,For_Mcmurray,Alberta
9,"1,249",Fort Mcmurray,"2 bd
1 ba
850 sf",2,1,850,Apt/Condo,For_Mcmurray,Alberta
10,"1,316",Fort Mcmurray,"1 bd
1 ba
697 sf",1,1,697,Apt/Condo,For_Mcmurray,Alberta
11,"1,236",Fort Mcmurray,"2 bd
1 ba
850 sf",2,1,850,Apt/Condo,For_Mcmurray,Alberta
12,"1,200",Fort Mcmurray,"1 bd
1 ba",1,1,,Apt/Condo,For_Mcmurray,Alberta
13,"1,316",Fort Mcmurray,"1 bd
1 ba
650 sf",1,1,650,Apt/Condo,For_Mcmurray,Alberta
14,"1,449",Fort Mcmurray,"1 bd
1 ba
608 sf",1,1,608,Apt/Condo,For_Mcmurray,Alberta
15,"1,739",Fort Mcmurray,"3 bd
1 ba
980 sf",3,1,980,Apt/Condo,For_Mcmurray,Alberta
16,"1,475",Fort Mcmurray,"3 bd
1 ba
0 sf",3,1,0,Apt/Condo,For_Mcmurray,Alberta
17,"1,035",Fort Mcmurray,"2 bd
1 ba
0 sf",2,1,0,Apt/Condo,For_Mcmurray,Alberta
18,835,Fort Mcmurray,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,For_Mcmurray,Alberta
19,935,Fort Mcmurray,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,For_Mcmurray,Alberta
20,985,Fort Mcmurray,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,For_Mcmurray,Alberta
21,885,Fort Mcmurray,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,For_Mcmurray,Alberta
22,900,Fort Mcmurray,"1 bd
1 ba
0 sf",1,1,0,Apt/Condo,For_Mcmurray,Alberta
