,price,Address,moreinfo,bedroom,bathroom,size_sqf,types,city,province
0,"1,000",Grande Prairie,"2 bd
1 ba
0 sf",2,1,0,House,Grande_prairie,Alberta
1,899,Grande Prairie,"0 bd
1 ba
490 sf",0,1,490,Apt/Condo,Grande_prairie,Alberta
2,895,Grande Prairie,"0 bd
1 ba",0,1,,Duplex,Grande_prairie,Alberta
3,950,Grande Prairie,"1 bd
1 ba
0 sf",1,1,0,Townhouse,Grande_prairie,Alberta
4,900,Grande Prairie,"1 bd
1 ba
0 sf",1,1,0,Townhouse,Grande_prairie,Alberta
5,"1,050",Grande Prairie,"2 bd
1 ba
1035 sf",2,1,1035,Duplex,Grande_prairie,Alberta
6,"1,045",Grande Prairie,"2 bd
1 ba
883 sf",2,1,883,Duplex,Grande_prairie,Alberta
7,"1,095",Grande Prairie,"2 bd
2 ba
1008 sf",2,2,1008,Apt/Condo,Grande_prairie,Alberta
8,"1,400",Grande Prairie,"2 bd
1 ba
0 sf",2,1,0,Duplex,Grande_prairie,Alberta
9,"1,100",Grande Prairie,"3 bd
2 ba
0 sf",3,2,0,House,Grande_prairie,Alberta
10,995,Grande Prairie,"1 bd
1 ba
708 sf",1,1,708,Apt/Condo,Grande_prairie,Alberta
11,910,Grande Prairie,"1 bd
1 ba
701 sf",1,1,701,Apt/Condo,Grande_prairie,Alberta
12,869,Grande Prairie,"0 bd
1 ba
450 sf",0,1,450,Apt/Condo,Grande_prairie,Alberta
13,"1,199",Grande Prairie,"2 bd
1 ba
925 sf",2,1,925,Apt/Condo,Grande_prairie,Alberta
14,"1,045",Grande Prairie,"2 bd
1 ba",2,1,,Apt/Condo,Grande_prairie,Alberta
15,"1,095",Grande Prairie,"2 bd
2 ba
1003 sf",2,2,1003,Apt/Condo,Grande_prairie,Alberta
16,995,Grande Prairie,"1 bd
1 ba
708 sf",1,1,708,Apt/Condo,Grande_prairie,Alberta
17,"1,045",Grande Prairie,"2 bd
1 ba",2,1,,Townhouse,Grande_prairie,Alberta
18,"1,800",Grande Prairie,"3 bd
3 ba
1438 sf",3,3,1438,House,Grande_prairie,Alberta
19,"1,050",Grande Prairie,"2 bd
1 ba
0 sf",2,1,0,Duplex,Grande_prairie,Alberta
20,"1,150",Grande Prairie,"2 bd
1 ba
0 sf",2,1,0,Townhouse,Grande_prairie,Alberta
21,"1,395",Grande Prairie,"3 bd
2 ba
1081 sf",3,2,1081,Townhouse,Grande_prairie,Alberta
22,950,Grande Prairie,"1 bd
1 ba
0 sf",1,1,0,Townhouse,Grande_prairie,Alberta
23,756,Grande Prairie,"0 bd
1 ba
450 sf",0,1,450,Apt/Condo,Grande_prairie,Alberta
24,"1,045",Grande Prairie,"2 bd
1 ba
883 sf",2,1,883,Townhouse,Grande_prairie,Alberta
25,"1,150",Grande Prairie,"2 bd
1 ba
745 sf",2,1,745,Apt/Condo,Grande_prairie,Alberta
